id,title,author,price,size,pages,paper,image,summary,categories,tags,detail
b2,တော်လှန်ရေးကောင်စီမှသည် စစ်အာဏာရှင်စနစ်ဆီသို့,အောင်အေး (မြန်မာပြန်သည်),"၃၀,၀၀၀ ကျပ်",၁၅.၅ * ၂၃ စင်တီမီတာ,၅၈၈,ဝူဖရီ စက္ကူဖြူချော,/images/k.jpg,တပ်မတော်ထောက်လှမ်းရေး၏ လူယုံအဖြစ် တိုကျိုတက္ကသိုလ်မှ ပညာသင်ယူကာ စစ်အစိုးရအဆက်ဆက်၏ စီးပွားရေးယန္တရားတွင် အရေးပါသော ပညာရှင်အဖြစ် ပါဝင်ခဲ့သော်လည်း ခေါင်းဆောင်ပိုင်း အာဏာလွန်ဆွဲမှုကြား နိုင်ငံရေးမြေဇာပင် ဖြစ်ခဲ့ရသူ ကြည်ဝင်းစိန်က နိုင်ငံရေးနောက်ကွယ်မှ လျှို့ဝှက်မှတ်တမ်း ဖြစ်ပါသည်။,"သမိုင်း, နိုင်ငံရေး","အတ္ထုပ္ပတ္ထိ, မြန်မာ, Non-Fiction, ဘာသာပြန်","မြန်မာ့တပ်မတော်ကို အမှီအခိုကင်း၍ လွတ်လပ်သည့် အဖွဲ့အစည်း တစ်ခုအဖြစ် ထူထောင်ရန် ကြိုးပမ်းနေစဉ် ကာလအတွင်း ကြည်ဝင်းစိန်သည် ပုသိမ်မြို့တွင် တိုင်းတပ်မဟာမှူးဖြစ်သူ ဗိုလ်မှူးကြီး သောင်းကြည်၏ စည်းရုံးသိမ်းသွင်းခြင်းကို ခံရပြီး တပ်မတော်ထောက်လှမ်းရေးတပ်ဖွဲ့၏ လူယုံတစ်ဦး ဖြစ်လာခဲ့သည်။

ပညာတော်၍ အကင်းပါးသော လူငယ်တစ်ဦးဖြစ်သည့် ကြည်ဝင်းစိန်သည် စစ်တပ်၏ ထောက်ပံ့ကူညီမှုဖြင့် ဂျပန်နိုင်ငံ၏ အမြင့်ဆုံး တက္ကသိုလ်ဖြစ်သည့် တိုကျိုတက္ကသိုလ် တွင် နိုင်ငံတကာ စီးပွားရေးစီမံကိန်းများနှင့် ပတ်သက်သော ဥပဒေပညာကို သင်ယူ ခွင့် ရခဲ့သည်။

ဗျူရိုကရက် ပညာတတ်များကို စိတ်ပျက်နေသော တပ်မတော်ခေါင်းဆောင်များ အတွက် ကြည်ဝင်းစိန်ကား အားကိုး၍ ယုံကြည်ရသော ကမ္ဘာ့အဆင့်မီ ပညာရှင် တစ်ယောက်အဖြစ် အိမ်စောင့်အစိုးရနှင့် တော်လှန်ရေးကောင်စီအစိုးရ၏ စီးပွားရေး ဆိုင်ရာ လုပ်ငန်းများတွင် အလုပ်အကျွေး ပြုခဲ့ရသည်။

တိုင်းပြည်၏ စီးပွားရေးနှင့် အရေးကြီးသော ငွေရေးကြေးရေးဆိုင်ရာ ကိစ္စများတွင် စစ်တပ်၏ ထိပ်ပိုင်းခေါင်းဆောင်များနှင့် အတူလက်တွဲဆောင်ရွက်ခဲ့ရသော ကြည်ဝင်းစိန် ကား ဗိုလ်ချုပ်အောင်ကြီးနှင့် ဗိုလ်ချုပ်ကြီးနေဝင်းတို့ အကွဲအပြဲတွင် နိုင်ငံရေးမြေဇာပင် ဖြစ်ခဲ့ရသည်။

ဗိုလ်ချုပ်အောင်ကြီး၊ ဗိုလ်ချုပ်စန်းယု၊ ဗိုလ်ချုပ်တော်မီကလစ်၊ ဗိုလ်ချုပ်မှူးကြီးစော မောင်၊ ဗိုလ်မှူးကြီးသောင်းကြည်၊ ဗိုလ်မှူးကြီးမောင်လွင်(နှုတ်ခမ်းမွေး)၊ ဗိုလ်မှူးကြီး ခင်ညို၊ ဗိုလ်မှူးကြီးချစ်ခင်၊ ဗိုလ်မှူးကြီးကြည်မောင် (ဇာတ်လိုက်)နှင့် ဗိုလ်မှူးကြီး အောင်ဒင် စသည့် ပုဂ္ဂိုလ်ကြီးများက ဤစာအုပ်ရေးမည်ဆိုပါက ၎င်းတို့ကွယ်လွန် ပြီးမှသာ ရေးပါဟု ကြည်ဝင်းစိန်အား အထပ်ထပ် မှာကြားခဲ့ပါကြောင်းဖြင့် ......
"
b3,အာဖရိကတိုက်ပေါ်က ကြယ်ဖြူ,နန်းနန်း(ရှမ်းပြည်) ,"၈,၀၀၀ ကျပ်",၁၃.၆ * ၂၁ စင်တီမီတာ,၁၂၅,ဝူဖရီ စက္ကူဖြူချော,/images/b1.jpg,ဤစာအုပ်သည် ဘူကင်နာဖာစိုနိုင်ငံ၏ နိုင်ငံရေးနှင့် ခေါင်းဆောင်သစ် အီဘရာဟင် ထရော်ရေးအကြောင်းကို တင်ပြထားခြင်း ဖြစ်ပါသည်။,"သမိုင်း, နိုင်ငံရေး","အတ္ထုပ္ပတ္ထိ, အာဖရိက, ဘာသာပြန်","⚫  ဘူကင်နာဖာစိုနိုင်ငံသည် အာဖရိကတိုက်မြောက်ပိုင်း၏ 
အလယ်လောက်တွင်တည်ရှိသောကုန်းတွင်းပိတ်နိုင်ငံငယ်ဖြစ်သည်။
 ⚫  ဘူကင်နာဖာဆို နိုင်ငံ၏ နိုင်ငံရေးအခြေအနေကို ပြန်ပြောင်းပုံဖော်ပြီး အာဖရိ တစ်တိုက်လုံးအတွက် ခေတ်သစ်ကို ပုံဖော်ပေးခဲ့သူ လူငယ်စစ်တပ်အရာရှိ အီဘရာဟင် ထရော်ရေး။
 ⚫  ဘူကင်နာဖာဆိုနိုင်ငံသည် ပြင်သစ်ထံမှ လွပ်လပ်ရေး ရရှိပြီးဖြစ်သော်လည်း နိုင်ငံရေး၊ စီးပွားရေးတွင် ပြင်သစ်နှင့် အနောက်အုပ်စု၏ သြဇာမလွတ်ကင်းပေ။
 ⚫  နိုင်ငံ၏ သဘာဝအရင်းအမြစ်များမှ ရရှိသော အကျိုးစီးပွားမှာ နိုင်ငံ၏ ထိပ်ပိုင်းအာဏာရှိသူတွေနှင့် နိုင်ငံခြားကုမ္ပဏီတွေသာ ခံစားနေရသည်။ ပြည်သူအများစုမှာ ဆင်းရဲတွင်းနက်နေပြီး အစ္စလာမ်မစ် အကြမ်းဖက်သောင်းကျန်းမှုကို မနှိမ်နင်းနိုင်ဘဲ နယ်မြေတွေ ဆုံးရှုံးနေသည်။
 ⚫  ထိုအခြေအနေတွင် အသက် ၃၄ နှစ်သာ ရှိသေးသည့် ကပ္ပတိန်ထရော်ရေးက ၂ဝ၂၂ ခုနှစ်တွင် စစ်ဖက် အာဏာသိမ်းယူခဲ့ပြီး ပြုပြင်ပြောင်းလဲမှုတွေ လုပ်ဆောင်ခဲ့သည်။
 ⚫  ပြင်သစ်စစ်တပ်အား နိုင်ငံတွင်းမှ မောင်းထုတ်ခဲ့ပြီး ရုရှား၊ တရုတ်၊ တူရကီတို့နှင့် စစ်ရေး၊ စီးပွားရေး တိုးမြှင့်ဆက်ဆံခဲ့သည်။
 ⚫  ပြည်သူစစ်မဟာဗျူဟာဖြင့် အစ္စလာမ်မစ် သူပုန်တို့အား နှိမ်နင်းခဲ့သည်။
 ⚫  အာဖရိကတစ်တိုက်လုံးရှိ ခေါင်းဆောင်များနှင့် လက်တွဲပြီး စီးပွားရေး၊ လူမှုရေး ပူးပေါင်းဆောင်ရွက်ခဲ့သည်။
 ⚫  လူငယ်မျိုးဆက်သစ်များကို စုစည်းပြီး ခေတ်သစ်ကိုလိုနီဝါဒအား ဆန့်ကျင်ကာ နိုင်ငံစီးပွားရေးကို တည်ဆောက်ခဲ့သည်။
 ⚫  အာဖရိကတိုက်ပေါ်မှ ကြယ်ဖြူ သည် အာဏာသိမ်းခဲ့သည့် စစ်တပ်အရာရှိ၏ ဇာတ်လမ်းမဟုတ်။ ပြည်သူလူထု၏ ရပိုင်ခွင့်ကို ပြန်လည်ရယူသော ဇာတ်လမ်းဖြစ်သည်။"
b4,ပုဂံသုတေသနလမ်းညွှန်,ဦးဗိုကေ (ပုဂံရှေးဟောင်းသုတေသီ),"၁၅,၀၀၀ ကျပ်",၁၃.၃ * ၂၀.၉ စင်တီမီတာ,၃၁၇,ဝူဖရီ စက္ကူဖြူချော,/images/bk.jpg,ပုဂံကို သာမန်ဘုရားဖူးရုံသက်သက်မဟုတ်ဘဲ ရှေးဟောင်းဗိသုကာနဲ့ အနုပညာလက်ရာတွေကို သုတေသီတစ်ယောက်လို လေ့လာချင်သူတိုင်းအတွက် စာအုပ်။,"သမိုင်း, ရှေးဟောင်းသုတေသန","ပုဂံ, Non-Fiction, သမိုင်း","ပုဂံကိုရောက်ရင် ဘုရားဖူးပြီး ဓာတ်ပုံရိုက်ရုံသက်သက်ထက် ပိုသိချင်တဲ့သူတွေအတွက် ဆရာကြီး ဦးဗိုကေ (ပုဂံရှေးဟောင်းသုတေသီ) ရဲ့ ""ပုဂံသုတေသနလမ်းညွှန်"" က မဖြစ်မနေ ဖတ်ထားသင့်တဲ့ စာအုပ်ပါ။

ဆရာဦးဗိုကေဟာ စီးပွားရေး၊ ကြီးပွားရေးတွေကို ခေါင်းထဲမထားဘဲ ပုဂံသုတေသန တစ်ခုတည်းမှာပဲ တစ်ဘဝလုံးကို မြှုပ်နှံသွားတဲ့ ပညာရှင်ကြီးပါ။

ဧည့်သည်တွေကို ပုဂံအကြောင်း ရှင်းပြတဲ့နေရာမှာ ပြိုင်ဘက်ကင်းသလို၊ သီရိလင်္ကာ၊ အိန္ဒိယ၊ ထိုင်း၊ ကမ္ဘောဒီးယားကနေ အီဂျစ်အထိ ကမ္ဘာ့ရှေးဟောင်းယဉ်ကျေးမှုတွေကိုပါ နှိုင်းယှဉ်ပြီး ကျယ်ကျယ်ပြန့်ပြန့် သိမြင်နားလည်သူလည်း ဖြစ်ပါတယ်။

ဒီစာအုပ်ကို သမားရိုးကျ ခရီးသွားလမ်းညွှန်စာအုပ်တွေလို မဟုတ်ဘဲ အပိုင်းနှစ်ပိုင်းနဲ့ စနစ်တကျ ဖွဲ့စည်းထားပါတယ်။

ပထမပိုင်းမှာ ပုဂံခေတ် ဗိသုကာလက်ရာတွေ၊ အဆောက်အအုံ အမျိုးအစားတွေ၊ ကျောက်စာ၊ နံရံပန်းချီနဲ့ အုတ်ခွက်ဘုရားတွေအကြောင်း အခြေခံအချက်အလက်တွေကို အရင်ဆုံး ရှင်းပြထားတယ်။

ဒုတိယပိုင်းမှာတော့ ပုဂံက ထင်ရှားတဲ့ စေတီ၊ ပုထိုး၊ ဂူကျောင်းပေါင်း (၁၀၉) ခုကျော်ကို ကိုယ်တိုင်သွားရောက်လေ့လာတဲ့အခါ ဘယ်နေရာမှာ ဘာကို သတိထားကြည့်ရမယ်ဆိုတာကို ဓာတ်ပုံမှတ်တမ်းတွေနဲ့ သေချာ ထောက်ပြထားပါတယ်။

ဒါကြောင့် ဒီစာအုပ်ဟာ သုတေသီတွေနဲ့ ဧည့်လမ်းညွှန်တွေအတွက် အခိုင်မာဆုံး ကိုးကားစရာဖြစ်သလို၊ ပုဂံအမွေအနှစ်တွေကို နောက်ထပ်မပျက်စီးအောင် ဝိုင်းဝန်းထိန်းသိမ်းဖို့ ဆရာကြီးရဲ့ စေတနာနဲ့ သတိပေးနှိုးဆော်ချက်တွေကိုလည်း မြင်တွေ့ရမှာပါ။

ပုဂံရဲ့ ဗိသုကာနဲ့ အနုပညာတွေကို သေသေချာချာ နားလည်ခံစားချင်တယ်ဆိုရင်တော့ ဒီစာအုပ်ကို လက်စွဲထားဖို့ ညွှန်းဆိုပါရစေ။"
b5,ဗုဒ္ဓနိုင်ငံတော်အနှစ်ချုပ်,အရှင်ဝိစိတ္တသာရ (သာသနာ့တက္ကသိုလ်)," ၃၀,၀၀၀ ကျပ်",20.3 x 27.6 စင်တီမီတာ,၅၇၄,ဝူဖရီ စက္ကူဖြူချော (အမာဖုံး - Hardcover),/images/b2.jpg,ဗုဒ္ဓနိုင်ငံတော်အနှစ်ချုပ်သည် ဖျာပုံမြို့ ရွှေကျင်နာယကဆရာတော် အရှင်သံဝရာဘိဝံသ ရေးသားပြုစုတော်မူသော အတွဲ (၃) တွဲရှိသည့် ဗုဒ္ဓနိုင်ငံ‌တော်ကျမ်းစာအုပ်ကြီးကို မူရင်းအနှစ်ချုပ်ပြုစုထားသော စာအုပ်ဖြစ်သည်။,"သမိုင်း, ဘာသာရေး","ဗုဒ္ဓဘာသာစာပေ, Non-Fiction, သမိုင်း","🟫 မြန်မာလိုပြုစုထားသော ဗုဒ္ဓသာသနာသမိုင်းကျမ်းတွေထဲမှာ အပြည့်စုံဆုံးစာအုပ်ဖြစ်သည် စာအုပ်ကို အပိုင်း (၄) ပိုင်းခွဲ၍ ပြုစုထားပြီး

🟡 အပိုင်း (၁) တွင် ဗုဒ္ဓဘာသာနှင့် နှိုင်းယှဉ်လေ့လာနိုင်အောင် ခရစ်ယာန်ဘာသာ၊ မူဆလင် ၊ ဟိန္ဒူ ၊ ဂျိမ်း ၊ သီအိုဆိုဖီဝါဒ စသည့် ဘာသာအမျိုးမျိုးတို့၏ သမိုင်းကြောင်းနှင့် ဗုဒ္ဓ၏ ဘဝဖြစ်တော်စဉ်တို့ကိုဖော်ပြထားသည်။

🟡 အပိုင်း (၂) တွင် ဗုဒ္ဓ၏ဓမ္မတရားတော်များ အတိုင်းတိုင်းအပြည်ပြည်သို့ ပြန့်ပွားသွားပြီး ဗုဒ္ဓ ၏ အင်ပါယာကြီးပေါ်ပေါက်လာပုံကို ဖော်ပြထားသည်။

🟡 အပိုင်း (၃) တွင် ပထမ သင်္ဂါယနာတင်ခြင်းမှစ၍ အသောကမင်း ကိုးတိုင်းကိုးဌာန သာသနာပြုပုံနှင့်တကွ ထေရဝါဒနှင့် မဟာယာန ဂိုဏ်းအမျိုးမျိုးကွဲသွားပုံ၊ တရုတ်ပြည် ၊ ကိုရီးယား ၊ ဂျပန် ၊ ကမ္ဘောဒီးယား ၊ လာအို ၊ မွန်ဂိုလီယား ၊ မြန်မာနိုင်ငံ၊ ထိုင်း ၊ မလေးရှားနိုင်ငံတို့၏ ဗုဒ္ဓသာသနာသမိုင်းကို ဖော်ပြထားသည်။

🟡 အပိုင်း (၄) တွင် ဗုဒ္ဓသာသနာဆုတ်ယုတ်လာပုံ ၊ မြန်မာနိုင်ငံ သာသနာသမိုင်းနှင့် ဥရောပနိုင်ငံများသို့ ဗုဒ္ဓသာသနာပြန့်ပွားပုံကို ရေးသားဖော်ပြထားသည်။

🟫 ဗုဒ္ဓသာသနာသမိုင်းကို သဒ္ဓါအားသက်သက်သာမက ပညာရှင်များ လေ့လာကိုးကား ရည်ညွှန်းပြုအပ်သော ခိုင်မာသော ကျမ်းတစ်ဆူအဖြစ် စတုတ္တအကြိမ် တည်းဖြတ်ထုတ်ဝေထားသည်။

🟫 ဗုဒ္ဓတက္ကသိုလ်များတွင် သာသနာသမိုင်းဆိုင်ရာ ရည်ညွှန်းစာအုပ်အဖြစ် လေ့လာအပ်သော စာအုပ်တစ်အုပ်ဖြစ်ပါသည်။"
b6,ဗော်ရီ ရှရှား၏ စူပါမာဖီးယား,ဥာဏ်သစ်,"၂၀,၀၀၀ ကျပ်", ၁၅.၃ * ၂၂.၃ စင်တီမီတာ,၄၅၆,ဝူဖရီ စက္ကူဖြူချော,/images/v1.jpg,ဤစာအုပ်သည် ရုရှားနိုင်ငံမှ စူပါမာဖီးယားများအကြောင်း သမိုင်းဖြစ်ရပ်မှန်များဖြစ်သည်။ ဝတ္တူလုံးဝ မဟုတ်ပါ။,"သမိုင်း, နိုင်ငံရေး","ရှရှား, Non-Fiction, ဘာသာပြန်","• ဗော်ရီ ရှရှား၏ စူပါမာဖီးယားသည် သည် ရုရှား၏ လျှို့ဝှက်ဆန်းကြယ်ပြီး ရက်စက်ကြမ်းကြုတ်သည့် ရာဇဝတ်ယဉ်ကျေးမှုကို ဖော်ပြထားသည်။

• ၁၇ဝဝ ပြည့်နှစ်လွန်များက မြင်းသူခိုးများ၊ ခရီထရော့ဗ်ကာ ဆင်းရဲသား ရပ်ကွက်များသည် ဗော်ရီတို့၏ အခြေခံအုတ်မြစ်များ ဖြစ်သည်။

• ဖဲညာ ဟုခေါ်သည့် သူခိုးစကား၊ ထူးခြားဆန်းကြယ်သည့် တက်တူးများ သည် ဗော်ရီတို့၏ အမှတ်အသားဖြစ်ပြီး စတာလင်ခေတ် ဂူလတ် အကျဉ်း စခန်းများတွင် ကြီးစိုးခဲ့သည်။

• ဇာဘုရင် ကျဆုံးချိန်မှသည် ခေတ်သစ်ရုရှားနိုင်ငံတော်အထိ နိုင်ငံရေး၊ ဥပဒေစိုးမိုးရေး၊ ဒုစရိုက်ဂိုဏ်း သုံးဦးသုံးဖလှယ် ပတ်သက်ဆက်နွယ် ပေါင်းစည်းမှုများကို ဖော်ပြထားသည်။

• ရုရှားတင့်ကားတို့ ဥရောပကို မခြိမ်းခြောက်နိုင်သော်လည်း ဆေးမင်ကြောင် ထောင်ထွက်များနေရာတွင် ကမ္ဘာရှု ရှုမြင်နေသည့် ခေတ်သစ်ဗော်ရီတို့က ဥရောပကို လွှမ်းမိုးစ ပြုနေပြီဖြစ်သည်။

• ဗော်ရီသည် ဝတ္ထုမဟုတ်။

• သမိုင်း၊ နိုင်ငံရေး၊ လူမှုဗေဒနှင့် ရာဇဝတ်မှု နယ်ပယ်စသည့် ခေတ်သစ်ရုရှားကို နားလည်ဖို့ သုတေသနပြုထားသည့် အရင်း အမြစ်တစ်ခုသာ ဖြစ်သည်။"
b7,ဗမာပြည် ကွန်မြူနစ်ပါတီ၏ နေထွက်ချိန်နှင့်နေဝင်ချိန်,ကျော်ဝင်း (ဘာသာပြန်),"၁၅,၀၀၀ ကျပ်",၁၅.၂ * ၂၂.၈ စင်တီမီတာ,၂၄၁,ဝူဖရီ စက္ကူဖြူချော,/images/bcp.jpg,ဗကပ ပြိုကွဲမှုမှတစ်ဆင့် ယနေ့ခေတ် ရှမ်းမြောက်ရှိ ဝ၊ ကိုးကန့် အစရှိသည့် လက်နက်ကိုင်အဖွဲ့များ ဘယ်လိုအမြစ်တွယ်လာသလဲဆိုသော လက်ရှိမြန်မာ့ပဋိပက္ခများ၏ နောက်ခံသမိုင်းကြောင်,"သမိုင်း, နိုင်ငံရေး","မြန်မာ, Non-Fiction, ဘာသာပြန်","🟨 ဗမာပြည်ကွန်မြူနစ်ပါတီ (ဗကပ) ရဲ့ သမိုင်းကြောင်း သက်သက်တင်မကဘူး လက်ရှိ ရှမ်းပြည်နယ်မြောက်ပိုင်း ပြဿနာတွေရဲ့ အရင်းအမြစ်တွေပါ တွေ့နိုင်မှာပါ။

🟨 ၁၉၃၉ ခုနှစ် ပါတီစတင်ချိန်ကနေ တရုတ်ရဲ့ ကျောထောက်နောက်ခံနဲ့ မြောက်ပိုင်းမှာ အခြေစိုက်ခဲ့ပုံတွေကို အရင်ဆုံး ရှင်းပြထားတယ်။

🟨 အရေးအကြီးဆုံး အလှည့်အပြောင်းကတော့ ၁၉၈၉ ခုနှစ် ပုန်ကန်မှုကြီးပါပဲ။
ကွန်မြူနစ်ဝါဒကို စွဲကိုင်ထားတဲ့ အထက်က ဗမာခေါင်းဆောင်တွေနဲ့၊ တကယ်တမ်း ရှေ့တန်းက သေနတ်ကိုင် တိုက်ခိုက်နေရတဲ့ “ဝ”နဲ့ ကိုးကန့် အောက်ခြေရဲဘော်တွေကြား သဘောထားကွဲလွဲမှုကနေ ဗကပကြီး ဘယ်လို ပြိုကွဲသွားသလဲ ဆိုတာကို အသေးစိတ် ဖတ်ရပါမယ်။

🟨 ဗကပ ပြိုကွဲပြီးနောက်မှာ နိုင်ငံရေးအယူဝါဒ နေရာ မှာ ဘာတွေအစားထိုး ဝင်ရောက်လာခဲ့သလဲ ဆိုတာပါ မြင်ရပါမယ်။

🟨 ဒီအကွဲအပြဲကနေ ယနေ့ခေတ် 'ဝ' ၊ ကိုးကန့် နဲ့ မိုင်းလား အဖွဲ့တွေ ဘယ်လို ထွက်ပေါ်လာသလဲဆိုတာကိုပါ တစ်ဆက်တည်း မြင်သွားပါလိမ့်မယ်။

🟨 စာရေးသူ Bertil Lintner ကိုယ်တိုင်က ၁၉၈၀ ပြည့်လွန်နှစ်တွေတုန်းက မြန်မာပြည်မြောက်ပိုင်း တောတောင်တွေထဲမှာ ဇနီးသည်နဲ့အတူ (၁၈) လတိတိ ခြေလျင်လျှောက်ပြီး သတင်းယူခဲ့သူပါ။

🟨 ဒါကြောင့် သူ့ရဲ့ ရေးသားချက်တွေက မြေပြင်အခြေအနေကို အပီပြင်ဆုံး ထင်ဟပ်နေမှာပါ။

🟨 မြန်မာ့နိုင်ငံရေးနဲ့ တိုင်းရင်းသား လက်နက်ကိုင်အရေးကို လေ့လာနေသူတွေအတွက် မဖတ်မဖြစ်စာအုပ် တစ်အုပ်ပါပဲ။"
b8,အိန္ဒိယကိုတွေ့ရှိခြင်း,ဘိုးလှိုင် (ဘာသာပြန်),"၂၅,၀၀၀ ကျပ်",၁၅.၅ * ၂၃ စင်တီမီတာ,၄၆၁,ဝူဖရီ စက္ကူဖြူချော,/images/id.jpg, အိန္ဒိယနိုင်ငံ၏ နှစ် ၅၀၀၀ စာ သမိုင်းကြောင်း၊ ယဉ်ကျေးမှုနှင့် နိုင်ငံရေးဒဿနများကို အသက်ဝင်စွာ ပုံဖော်ထားပြီး ခေတ်သစ်အိန္ဒိယ၏ စိတ်ဝိညာဉ်ကို အကောင်းဆုံး နားလည်နိုင်မည့် ကမ္ဘာ့ဂန္ထဝင် စာအုပ်ကြီး ဖြစ်ပါသည်။,"သမိုင်း, နိုင်ငံရေး","အိန္ဒိယ, Non-Fiction, ဘာသာပြန်","🟨နေရူးတွေ့ရှိသော အိန္ဒိယသည် ဘာသာစကားအစုံ၊ လူမျိုးအစုံ၊ ယဉ်ကျေးမှုအစုံ၊ အလွှာအစုံ၊ ဒေသအစုံတို့ကို အိန္ဒိယဟူသည့် တစ်ခုတည်းသော ခေါင်းစဉ်အောက်တွင် ပေါင်းစည်းနိုင်ခဲ့ခြင်း။

🟨ဝေဒ၊မဟာဘာရတ၊ ဘဂဝဂ်ဂီတ၊ရာမယဏ၊ဇာတက စသော အိန္ဒိယ၏ဂန္ထဝင်စာပေများ။

🟨ဗုဒ္ဓ၊ မဟာဝီရ၊ နာဂဇုန၊သင်္ကရ၊ စန္ဒဂုတ်မင်း၊ စာဏကျအမတ်၊ အသောကမင်း၊ သင်္ကရ၊ ကာလီဒါသ စသည့် အိန္ဒိယ၏မဟာများ။

🟨ရာမကရစ်ရှန၊ ဝိဝေကနန္ဒာနှင့် တဂိုး၊ ဂန္ဓီစသည့် အိန္ဒိယ၏ ခေတ်သစ်မဟာများအကြောင်း။

🟨အိန္ဒုမြစ်ဝှမ်းယဉ်ကျေးမှုမှသည် ရှေးဟောင်းနှင့်ခေတ်သစ်သမိုင်းကို ပေါင်းစပ်ထားသည့် အိန္ဒိယ။

🟨အိန္ဒိယသည် အတွေးအခေါ်ဒဿနနှင့်ပညာကို တန်ဖိုးထားသည်။လက်ရုံးရည်သမားနှင့် သူဌေးသူကြွယ်ကို ပညာရှိလောက် တန်ဖိုးမထားချေ။

🟨နိုင်ငံနိမ့်ကျနေသောအခါ၌ပင် အိန္ဒိယသည် ပညာနယ်၌သာ သက်သာရာရှာ၏။

🟨ရှေးဦးအိန္ဒိယသားတို့သည် ပေါင်းစပ်ချင်စိတ်၊ ညီညွတ်ချင်စိတ်ရှိသည်။

🟨နိုင်ငံခြားယဉ်ကျေးမှု ဩဇာကို အိမ်ခံကဝါးမျိုသည်၊ ကျင့်သုံးခွင့်ပေးသည်၊ အားပေးအားမြှောက်ပြုသည်၊ အစွမ်းကုန်သည်းခံခွင့်လွှတ်သည်၊ ဖျက်ဆီးမည့် အရိပ်အယောင်ပေါ်လာလျှင် ပေါင်းစပ်ယူသည်။

🟨ဤမျှကာလရှည်ကြာသော သမိုင်းကြောင်းကို ဖြတ်သန်းနိုင်ခဲ့ခြင်းသည် သိမ်မွေ့သော လူ့သဘာဝ၊ အမျိုးစုံပြီး သဘောထားပြည့်ဝသော ယဉ်ကျေးမှုနှင့် ထွေပြားပြီး နက်ရှိုင်းလှသော အသိဉာဏ်သည် အိန္ဒိယ၏ အသက်ရှည်သော အကြောင်းတရားပင် ဖြစ်သည်။"
b9,,,,,,,,,,,
b10,,,,,,,,,,,
b11,,,,,,,,,,,
